,HighSchool,Graduate,College,11th,9th
0,42.294518,18.355421,13.641955,8.429545,17.278568
1,42.324543,24.329748,14.43533,7.094195,11.81618
2,26.80087,23.227352,18.987947,12.257573,18.726257
3,24.16227,25.471848,24.979374,9.428022,15.958488
4,7.3327518,14.021089,18.328615,45.124672,15.192872
5,34.411953,17.538166,14.206101,11.478854,22.364925
6,11.068935,24.410114,33.777557,17.19631,13.547081
7,9.706957,20.55148,32.503548,22.01219,15.225829
8,6.7207127,11.581371,19.103401,44.620594,17.973923
9,10.023651,23.361128,25.559994,28.31099,12.744236
10,14.644359,10.124551,15.589076,18.976479,40.665535
11,18.559784,19.45069,20.89722,16.572174,24.520132
12,20.325445,13.377174,16.11107,14.534288,35.652016
13,28.238005,35.52255,18.124119,8.448303,9.667028
14,22.593916,14.390314,16.326653,13.743658,32.94546
15,6.64822,12.0007,18.20853,45.72457,17.417978
16,11.65569,14.802837,28.927114,18.69121,25.923147
17,29.854403,27.871847,17.626896,10.209126,14.437728
18,17.657593,14.90377,24.597828,13.084938,29.755869
19,9.4554405,20.518501,32.17364,23.380835,14.471586
20,44.889385,17.806925,13.285986,7.3414817,16.676222
21,32.52534,17.028307,14.320058,12.775553,23.350744
22,7.421612,15.519071,24.14246,37.641518,15.275337
23,23.033823,36.825638,21.09462,9.912952,9.132967
24,12.594204,12.646064,17.041605,24.89286,32.825264
25,18.16707,16.744709,26.65159,12.215476,26.221157
26,40.225418,26.618803,14.414306,7.504875,11.236598
27,44.82462,21.95065,13.873185,6.7518897,12.599653
28,6.966967,12.153963,20.641056,42.169044,18.068966
29,11.252462,16.46376,33.45151,17.280188,21.552073
30,44.243942,17.082249,12.946584,7.6014767,18.125753
31,9.734121,10.456687,17.619818,27.507952,34.681423
32,26.061213,18.709412,19.360962,11.522835,24.345581
33,14.156267,16.603952,29.993048,14.679636,24.56709
34,6.867337,10.915803,16.63517,46.279152,19.302536
35,13.780549,9.968521,16.416965,20.811167,39.02279
36,45.16509,18.718416,13.138294,6.9492707,16.028925
37,43.558258,23.098345,14.085682,7.163541,12.094175
38,43.401585,17.143192,13.136889,7.6378055,18.680529
39,11.862462,27.027267,23.610895,24.94206,12.557311
40,35.821518,29.802126,16.222164,7.3917866,10.7624035
41,22.08275,38.418076,20.628483,9.0325575,9.838126
42,14.524083,25.158817,34.34517,11.690888,14.281033
43,42.576237,24.294796,14.602661,6.6041365,11.922172
44,43.13479,18.560665,13.482651,7.8360276,16.985872
45,12.334345,10.147227,14.527218,27.699142,35.292072
46,23.361176,36.321205,19.362028,9.6017885,11.353798
47,31.522999,23.172682,20.739376,8.232207,16.332733
48,24.846544,37.128426,18.977255,9.631547,9.416231
49,11.655834,15.521858,30.655094,17.346573,24.820635
50,24.374245,15.057132,19.275599,10.759617,30.53341
51,26.732754,35.82105,19.435059,8.256083,9.755061
52,7.5579443,10.849402,16.08742,45.8819,19.623331
53,17.887663,11.314712,15.896408,14.519702,40.381523
54,40.586246,15.765219,13.359286,8.950486,21.338755
55,14.483311,10.258191,16.483046,17.80594,40.969513
56,46.473198,19.556437,13.209216,7.3087053,13.452442
57,20.468763,11.541287,16.030193,13.559538,38.400223
58,18.747797,25.737473,21.191313,17.343573,16.979845
59,16.408506,12.032702,15.137959,19.051231,37.369602
60,18.507689,18.178864,26.276731,12.241639,24.795084
61,45.658665,18.743708,12.811746,7.1929684,15.5929165
62,39.265015,27.643772,14.655182,7.4598746,10.9761505
63,12.293396,9.778121,15.610683,22.670956,39.646847
64,18.981493,37.627754,21.284788,12.59982,9.5061455
65,17.445248,11.9378605,17.344917,13.3530245,39.918945
66,13.01332,14.978951,18.895584,26.01194,27.100204
67,22.63072,20.702528,24.889606,10.8833475,20.8938
68,14.239067,33.426212,28.657469,12.830652,10.846597
69,11.720935,18.656183,34.236393,16.269089,19.11739
70,9.279318,9.796791,17.352207,30.178339,33.393337
71,14.889315,23.01465,33.777706,11.970428,16.347897
72,38.821396,18.40387,14.525923,9.502453,18.746359
73,12.14141,9.695031,15.036854,25.225204,37.901493
74,24.590656,14.115049,18.107698,10.931435,32.255165
75,22.124115,39.063686,19.288555,9.538423,9.98522
76,11.916172,30.415493,25.002531,21.851711,10.814095
77,10.196171,22.730913,32.64605,20.26409,14.162773
78,7.440195,15.148332,19.72346,43.245697,14.442312
79,33.4688,32.05443,16.685135,7.631445,10.160193
80,44.995846,18.444748,13.460777,7.178314,15.920313
81,20.335577,11.398368,15.205286,14.229086,38.831688
82,14.600822,10.733735,16.510954,16.465822,41.688667
83,12.261699,10.172218,16.122343,20.709023,40.73471
84,10.765861,19.260506,25.58589,26.811882,17.575857
85,19.5823,35.998352,24.247108,10.578784,9.593454
86,12.698223,30.963875,30.111467,15.145929,11.0805025
87,20.61021,37.553017,20.492922,11.908111,9.435734
88,25.125977,19.55983,17.757483,14.133628,23.423075
89,16.788002,37.309464,21.785679,12.918954,11.197906
90,42.27118,24.506777,13.89398,7.4571223,11.870939
91,17.532225,36.70539,24.390562,11.885206,9.486614
92,17.395903,11.185996,16.74479,14.44547,40.227837
93,6.777598,10.98196,17.07953,45.770195,19.390717
94,15.144378,28.3996,26.281288,15.063782,15.110962
95,24.031275,14.381779,15.470807,13.936123,32.18002
96,7.085946,10.205238,16.464733,44.753326,21.490753
97,32.08237,14.185551,14.594839,10.978333,28.158907
98,45.784233,17.58146,13.149447,7.350645,16.134209
99,45.53619,19.56766,12.679044,7.327281,14.889838
100,25.556501,23.7184,17.666431,14.427331,18.631336
101,22.641823,37.15809,21.298952,9.589074,9.31206
102,9.383821,22.915401,30.737158,23.846535,13.11709
103,8.821356,11.553671,23.044336,28.051556,28.529081
104,14.921723,12.17768,16.13963,20.045448,36.715515
105,10.398836,26.157833,28.416952,22.89515,12.131226
106,7.6612287,9.59729,16.723854,39.735416,26.28221
107,13.757844,30.87456,29.553133,14.783915,11.03054
108,43.958645,20.559198,13.826306,7.1492686,14.506576
109,20.375822,17.515316,25.386461,11.952901,24.769505
110,30.031195,19.656712,16.55831,12.832347,20.921438
111,10.365368,10.315525,17.621462,23.670494,38.027145
112,11.045153,19.269526,33.69324,18.225515,17.766558
113,21.004147,19.590742,26.641973,10.882438,21.8807
114,41.352333,19.944962,13.290529,9.262267,16.149906
115,45.336212,21.117523,13.629309,6.7082124,13.208752
116,16.474052,23.742403,22.769833,18.481619,18.532085
117,44.00888,17.126219,13.056472,7.43393,18.3745
