,Q1,Q3,Q4,Q2
0,74.11889,4.928666,17.648956,3.303494
1,6.443712,74.37164,12.30736,6.877291
2,20.47285,55.115105,16.024994,8.387053
3,11.713895,25.931068,58.111443,4.2436013
4,78.47321,3.0295613,15.548666,2.9485574
5,5.4384327,79.41336,8.001288,7.1469173
6,3.8210187,84.26826,5.896662,6.014053
7,4.617868,83.9685,7.0436397,4.3699994
8,17.4789,11.7047205,66.52665,4.2897243
9,12.835123,28.527905,50.84506,7.7919188
10,7.029385,68.33305,8.082852,16.554707
11,5.741781,4.7401614,2.5884852,86.929565
12,46.306732,5.8614635,43.638916,4.1928864
13,37.50126,8.771802,47.30258,6.4243555
14,13.334042,13.3719,70.6493,2.6447608
15,36.49186,15.280536,21.95717,26.270432
16,8.488437,73.44759,11.2365265,6.82745
17,63.501366,5.757059,14.9651375,15.776445
18,74.85727,2.8966784,18.857332,3.3887153
19,74.03599,3.1684265,19.983528,2.8120508
20,18.94337,51.061337,17.94749,12.04779
21,10.114038,8.522835,4.116744,77.24638
22,15.602997,54.135204,18.253477,12.008314
23,64.60077,3.6436722,29.107836,2.6477234
24,4.347526,82.96487,7.7723927,4.915216
25,67.03919,3.6848242,24.865496,4.41049
26,11.610476,11.154321,75.02328,2.211926
27,73.01271,3.8088896,19.980711,3.197683
28,16.530607,17.55748,62.520226,3.3916955
29,9.611077,72.22532,12.016674,6.146923
30,3.655358,4.859775,1.8130876,89.671776
31,3.8405683,4.618535,1.8296125,89.71129
32,3.9095807,84.46572,5.488967,6.1357236
33,77.75744,3.174446,15.474365,3.5937603
34,3.7961748,14.909753,2.9858143,78.30826
35,76.280045,3.4061544,14.9096575,5.4041395
36,2.9448638,8.782677,1.8877708,86.3847
37,16.27724,7.700507,72.91942,3.1028323
38,3.659122,5.717447,1.7908458,88.83258
39,57.3743,15.052869,19.938705,7.6341333
40,33.2985,27.859873,21.516806,17.324821
41,3.3106306,5.414177,1.7594961,89.5157
42,4.108687,7.0520453,3.265293,85.573975
43,26.871395,10.8801,54.509346,7.7391496
44,8.504617,5.901191,3.8857467,81.70845
45,2.8675303,8.016188,1.8684868,87.247795
46,14.260812,16.551691,65.37335,3.8141441
47,27.37039,30.36666,24.999882,17.263071
48,7.563077,5.903498,3.8809822,82.65245
49,13.663408,7.443918,77.30615,1.58653
50,4.172728,82.64309,7.3816843,5.8025045
51,30.96773,20.10414,33.356415,15.571712
52,11.472592,11.205314,74.78429,2.5378094
53,3.8550928,83.11728,4.7449155,8.282711
54,10.265628,11.700635,6.3701572,71.663574
55,30.205023,8.502823,10.482451,50.8097
56,75.98196,3.2816875,18.112925,2.6234324
57,7.605087,7.4823236,5.3921156,79.52048
58,10.887941,62.623672,17.375074,9.113314
59,4.6726155,9.269544,3.8704746,82.18736
60,78.011536,3.398706,13.311437,5.2783127
61,78.12823,3.5241003,14.787436,3.5602405
62,4.543747,83.6686,5.5221534,6.265505
63,3.437901,84.86588,5.9725156,5.723707
64,4.0383725,69.75657,4.6299086,21.575155
65,3.1715398,5.3319974,1.7591683,89.7373
66,77.67552,3.7261155,14.857158,3.7412088
67,5.3886156,55.63841,5.643437,33.329544
68,23.902456,15.528649,19.29757,41.271328
69,38.35591,18.19292,37.987255,5.4639134
70,5.9271836,75.378365,12.304049,6.390407
71,69.54533,8.634365,16.24071,5.579595
72,3.4272437,85.14477,5.0215507,6.4064374
73,14.051843,8.708515,4.9085574,72.331085
74,11.43927,18.338001,6.9741197,63.24861
75,32.381214,20.882166,22.72064,24.015978
76,15.054007,5.381867,78.05698,1.5071564
77,5.045776,75.151535,6.3647194,13.437979
78,3.2219927,6.0205145,1.7446605,89.01283
79,38.73632,5.5623074,54.0422,1.6591781
80,4.7315297,5.9815826,2.3619323,86.92496
81,33.017956,7.3344707,56.202465,3.445112
82,3.5363958,84.88534,6.4880185,5.090245
83,3.6121483,5.0237117,1.7626343,89.6015
84,5.579803,80.86574,8.730458,4.8239927
85,9.417725,60.651867,12.831643,17.098759
86,71.15168,5.803601,14.527026,8.51769
87,13.300493,8.158757,76.867195,1.6735587
88,42.728355,4.4559574,50.886555,1.9291382
