,0,1,2,3,4,5,6,7
0,0,0,0,0,1,0,0,1
1,1,1,1,1,0,0,1,0
2,0,0,0,0,0,0,1,0
3,0,0,0,1,0,1,1,0
4,1,0,0,0,0,0,0,1
5,1,1,0,1,1,0,0,1
6,0,1,0,1,1,0,1,1
7,0,1,0,0,1,0,1,0
8,0,1,0,1,1,1,0,0
9,0,0,0,1,1,1,1,0
10,1,0,1,0,0,1,0,1
11,1,1,0,0,0,1,0,1
12,1,0,0,1,1,0,0,1
13,1,0,0,0,0,1,0,1
14,1,0,0,0,1,0,0,1
15,1,0,1,0,1,1,1,1
16,1,1,0,0,1,0,1,0
17,1,0,0,1,0,0,0,1
18,1,0,0,0,0,1,0,0
19,0,1,1,0,0,0,1,1
20,1,1,0,0,0,0,1,0
21,1,1,0,0,1,1,1,0
22,1,0,1,0,0,0,0,1
23,1,0,1,1,0,1,0,1
24,1,0,1,1,0,0,1,1
25,0,0,0,0,1,1,1,0
26,1,0,1,1,0,1,0,0
27,1,0,1,1,0,1,1,1
28,1,1,1,0,0,0,0,0
29,0,0,0,1,0,1,1,0
30,0,1,0,0,1,0,1,1
31,1,0,0,0,0,0,0,1
32,1,1,1,1,0,0,1,1
33,0,1,1,0,1,0,1,0
34,1,0,0,0,0,1,0,1
35,0,1,1,1,1,0,0,1
36,1,0,0,0,0,1,0,1
37,1,1,1,1,0,0,0,0
38,1,1,0,0,0,0,1,1
39,1,1,0,1,0,1,1,1
40,0,1,0,0,0,1,1,0
41,1,0,1,1,0,0,1,1
42,0,0,0,0,1,0,1,0
43,1,0,0,1,0,1,0,1
44,1,1,0,1,0,1,1,1
45,1,1,0,0,1,0,0,0
46,1,0,0,0,0,1,1,1
47,1,1,0,1,1,1,1,1
48,1,0,0,0,0,0,1,1
49,0,1,0,0,1,0,1,1
50,1,1,0,1,0,1,1,1
51,1,0,0,0,0,0,1,0
52,0,1,0,0,1,1,1,0
53,1,1,0,0,0,1,0,1
54,1,0,1,0,1,0,0,1
55,0,1,0,0,0,1,0,1
56,1,0,0,1,1,0,0,1
57,1,0,0,0,0,1,0,1
58,1,1,0,0,1,0,1,1
59,1,1,0,0,0,1,0,1
60,0,0,0,1,0,1,1,1
61,1,1,0,1,1,1,1,1
62,1,1,0,0,0,0,0,1
63,1,1,0,0,0,0,1,0
64,1,0,1,0,0,1,0,1
65,0,1,0,0,1,1,0,0
66,1,0,0,0,0,1,0,1
67,0,0,0,0,0,0,1,1
68,1,0,0,0,1,1,1,1
69,1,0,0,0,1,0,0,0
70,0,1,0,0,0,0,1,1
71,1,0,1,0,0,1,1,1
72,1,1,0,1,1,1,1,0
73,1,0,0,1,0,0,0,0
74,1,1,0,0,1,0,0,0
75,1,1,0,1,1,1,0,1
76,1,0,0,1,1,0,0,0
77,1,1,0,0,1,0,1,0
78,0,1,1,1,0,1,0,0
79,0,1,0,0,1,1,0,1
80,0,0,1,0,1,1,1,1
81,0,0,1,0,0,0,0,1
82,1,0,1,0,1,0,1,0
83,0,1,1,0,0,0,1,0
84,1,1,1,1,1,0,1,1
85,0,0,0,0,1,1,0,0
86,1,0,0,0,0,1,0,1
87,0,1,0,1,1,1,1,0
88,0,0,0,0,1,0,0,0
89,0,0,0,1,0,0,0,0
90,1,0,0,1,1,1,1,1
91,1,0,0,0,0,1,0,1
92,0,0,0,0,0,1,0,1
93,1,1,0,0,1,0,1,1
94,1,1,0,0,0,1,0,0
95,0,1,0,0,1,0,0,1
96,1,1,0,0,0,0,0,1
97,1,1,0,1,1,1,1,0
98,0,1,1,0,0,0,1,0
99,1,0,0,1,0,1,1,1
100,0,1,0,0,1,0,1,0
101,1,1,0,1,0,1,0,0
102,1,0,0,1,1,1,1,1
103,0,1,0,0,1,1,1,1
104,0,1,1,0,1,1,0,1
105,1,0,0,1,0,1,1,0
106,1,0,0,0,0,1,1,1
107,1,1,0,0,0,0,1,1
108,1,1,0,0,1,1,1,1
109,1,1,1,0,0,1,0,1
110,1,1,1,1,1,0,1,0
111,1,1,0,1,1,1,1,0
112,1,0,0,1,0,1,0,1
113,1,0,0,0,0,0,1,0
114,1,0,0,1,0,0,0,1
115,1,0,1,0,1,0,0,0
116,1,1,0,0,0,1,1,1
117,0,1,1,0,0,1,1,0
118,1,0,0,0,1,1,1,1
119,0,1,1,1,1,0,1,0
120,1,0,0,0,1,0,0,0
121,1,1,1,0,0,1,0,1
122,0,1,1,0,1,0,1,1
123,1,1,0,0,1,0,1,0
124,1,0,0,0,0,0,0,1
125,1,0,0,0,0,0,0,1
126,1,0,0,1,1,0,0,0
127,0,0,0,0,0,1,0,1
128,1,0,1,1,0,1,0,1
129,1,1,0,1,0,1,1,0
130,1,1,0,0,1,0,0,1
131,1,0,0,1,0,0,0,0
132,1,0,1,0,1,0,0,0
133,1,1,0,1,1,1,1,0
134,1,0,1,1,0,1,0,0
135,1,1,1,0,1,1,1,0
136,0,0,1,1,0,1,1,1
137,1,1,1,1,1,1,1,0
138,1,1,0,0,1,0,0,1
139,0,0,1,0,0,1,1,0
140,1,1,0,0,0,0,0,1
141,1,1,0,0,0,1,0,0
142,1,1,1,1,0,0,0,1
143,1,0,0,0,0,0,0,0
144,1,0,1,0,0,1,0,1
145,0,1,0,0,0,1,0,1
146,1,1,1,1,1,0,1,1
147,0,0,0,0,1,0,1,0
148,0,1,1,0,1,1,1,0
149,1,0,0,0,0,1,0,0
150,0,0,1,0,0,1,0,1
151,0,0,0,1,0,0,0,1
152,0,1,0,0,1,1,0,0
153,1,1,0,0,1,0,1,0
154,1,1,0,0,1,1,0,1
155,0,1,1,0,0,0,0,1
156,1,0,1,1,0,0,1,1
157,1,0,0,0,0,1,0,0
158,1,1,0,0,0,1,1,1
159,1,0,1,1,1,0,1,0
160,0,1,1,0,1,0,1,0
161,1,1,0,1,0,0,1,1
162,0,1,0,0,0,0,1,0
163,1,0,0,0,0,1,1,1
164,1,0,0,0,1,0,1,0
165,0,1,1,1,0,0,1,0
166,1,1,1,1,1,0,1,0
167,1,1,0,0,1,1,1,0
168,1,1,1,1,1,1,1,0
169,0,0,0,1,0,0,0,1
170,1,0,0,0,1,0,0,0
171,1,1,0,1,1,1,1,0
172,1,0,0,0,0,0,0,1
173,1,0,0,0,1,1,0,0
174,1,0,0,0,0,0,1,1
175,0,0,0,1,0,1,0,1
176,1,1,1,0,0,0,0,0
177,0,0,0,0,0,0,0,1
178,1,1,1,0,0,1,1,0
179,1,1,0,0,0,1,1,0
180,1,0,1,0,0,1,0,1
181,1,1,0,1,0,0,0,1
182,1,1,0,1,1,0,1,1
183,1,1,0,0,1,0,1,0
184,0,1,1,1,1,0,1,0
185,0,1,0,1,1,0,1,0
186,1,0,0,1,1,1,1,1
187,1,1,1,1,1,0,0,0
188,0,0,0,1,0,0,1,0
189,1,0,1,0,1,1,1,0
190,0,1,1,1,0,0,0,0
191,1,1,1,1,0,1,0,1
192,1,0,0,0,0,1,0,0
193,1,1,0,1,1,0,1,1
194,0,0,1,0,0,1,0,1
195,1,1,0,0,1,0,0,1
196,1,1,0,1,0,1,0,1
197,1,1,0,1,1,0,1,0
198,1,1,1,0,1,0,0,1
199,1,0,0,0,1,0,1,1
200,1,0,0,1,0,1,1,1
201,1,0,1,0,1,1,0,0
202,1,0,0,1,1,0,1,0
203,1,0,1,0,0,0,0,1
204,0,1,0,0,1,0,0,1
205,1,0,1,0,0,1,0,1
206,1,1,1,0,1,0,0,1
207,1,0,1,0,1,0,1,1
208,0,1,0,0,0,1,0,1
209,0,1,0,1,1,0,0,1
210,1,0,0,1,0,1,0,1
211,1,1,0,0,1,1,1,1
212,1,0,0,0,1,0,1,1
213,1,0,1,1,1,1,0,1
214,0,0,0,1,0,1,0,1
215,1,1,0,0,0,1,0,1
216,1,1,1,1,1,0,1,0
217,1,1,1,1,0,0,1,0
218,1,1,1,0,0,1,1,1
219,0,1,0,0,0,1,1,0
220,1,0,0,0,1,1,1,0
221,0,0,0,1,1,1,0,1
222,1,0,0,0,1,0,1,1
223,1,1,0,1,0,1,0,1
224,1,0,1,1,0,0,0,1
225,1,0,0,1,1,0,0,1
226,1,1,0,0,1,1,0,1
227,0,1,0,0,0,0,1,0
228,1,0,0,1,1,0,1,1
229,1,1,1,0,0,1,1,0
230,1,0,0,0,0,1,1,0
231,0,0,0,0,0,0,0,0
232,1,1,0,0,1,0,1,1
233,1,0,1,0,0,1,0,1
234,1,0,0,1,1,1,1,1
235,1,1,0,1,1,0,1,1
236,1,1,0,0,0,1,1,0
237,1,0,1,0,1,0,1,0
238,1,1,0,0,0,1,0,1
239,1,1,1,0,0,0,0,0
240,1,0,0,1,0,1,1,1
241,1,0,1,1,1,1,1,1
242,1,1,0,0,0,0,1,1
243,0,0,0,1,0,1,1,1
244,0,0,1,0,0,0,1,0
245,0,0,0,0,0,0,0,1
246,1,0,1,0,0,1,1,0
247,1,0,0,0,1,1,1,1
248,1,1,0,0,1,1,0,0
249,0,0,0,1,0,0,1,0
250,0,1,1,0,0,0,0,1
251,1,0,0,1,0,1,1,0
252,1,0,1,0,0,1,0,1
253,0,0,0,1,1,0,1,1
254,1,0,0,1,1,0,1,1
255,1,0,0,0,0,0,0,1
256,0,1,0,0,1,1,0,0
257,0,1,0,0,0,0,1,1
258,0,0,1,0,1,1,1,1
259,1,1,0,1,1,1,0,1
260,1,1,1,1,0,1,1,0
261,1,1,0,0,0,0,1,0
262,1,0,0,0,0,0,1,0
263,1,1,0,0,1,0,0,1
264,1,0,0,1,1,0,0,0
265,0,1,1,0,1,0,0,0
266,1,0,0,0,1,1,0,0
267,1,1,1,1,1,1,1,1
268,0,0,1,1,0,1,1,1
269,1,0,1,1,1,1,1,1
270,1,1,1,0,1,1,1,1
271,1,1,1,0,0,1,1,0
272,1,1,1,0,1,0,0,1
273,1,1,0,0,0,0,0,1
274,1,0,0,0,0,1,0,0
275,1,1,1,0,1,1,0,1
276,1,1,0,0,0,0,0,1
277,1,1,0,1,1,1,0,1
278,0,1,0,0,1,0,0,1
279,1,0,1,0,1,0,1,0
280,0,0,1,0,1,0,0,1
281,1,1,1,0,1,1,1,0
282,0,1,0,0,1,0,0,0
283,1,1,0,1,1,0,1,0
284,0,0,0,0,0,1,0,0
285,0,0,1,0,0,1,1,1
286,1,0,0,0,1,0,0,1
287,1,1,1,1,1,1,1,1
288,1,1,1,1,1,1,0,1
289,1,0,1,0,1,0,1,0
290,0,1,0,0,1,1,1,0
291,1,0,1,0,1,1,1,1
292,0,1,1,1,1,0,0,0
293,1,0,0,1,1,0,0,1
294,1,0,0,1,0,1,0,1
295,1,1,0,0,1,1,0,0
296,0,0,1,0,1,1,0,1
297,1,0,1,0,0,1,1,0
298,0,0,1,1,1,0,1,1
299,0,1,0,1,0,0,0,0
300,1,0,0,0,0,0,1,0
301,1,0,1,0,0,1,1,0
302,1,1,0,0,0,0,0,1
303,1,0,0,1,0,0,0,1
304,0,0,0,0,1,1,0,1
305,0,0,1,0,1,0,1,0
306,1,0,0,0,0,1,0,1
307,1,0,0,1,1,1,1,1
308,1,1,0,0,0,0,0,0
309,1,1,0,0,0,0,0,1
310,1,0,0,1,1,1,1,1
311,1,1,1,0,1,0,1,0
312,1,0,0,1,0,0,0,0
313,0,0,0,0,1,0,0,0
314,0,0,1,0,0,0,1,0
315,0,1,0,1,1,0,0,0
316,0,1,0,1,0,0,1,0
317,1,0,1,0,0,0,0,1
318,1,1,0,1,1,0,1,1
319,1,0,0,1,1,0,1,1
320,1,0,1,0,0,1,0,1
321,1,0,1,1,0,0,0,1
322,0,1,0,1,0,0,1,1
323,1,1,0,0,1,1,0,1
324,1,1,0,1,0,0,1,0
325,0,1,0,0,1,1,0,1
326,1,0,0,1,1,1,1,1
327,0,0,0,1,0,1,1,1
328,1,0,0,0,1,0,0,0
329,1,1,0,0,1,0,1,0
330,0,0,1,0,0,1,0,1
331,1,1,0,1,0,0,0,0
332,1,0,0,1,0,0,0,1
333,0,1,0,1,1,1,0,0
334,1,0,0,0,0,1,0,1
335,1,0,0,1,0,0,0,0
336,0,1,0,0,1,0,1,0
337,1,1,0,1,1,1,1,0
338,1,1,1,0,1,1,1,0
339,1,0,1,0,1,1,0,0
340,1,1,1,0,1,1,1,1
341,0,1,1,0,1,0,0,1
342,1,1,0,0,0,0,1,1
343,1,0,1,0,1,0,0,1
344,1,0,0,0,0,0,0,1
345,1,0,0,1,0,1,0,0
346,0,1,0,0,1,1,1,1
347,1,1,1,0,1,1,1,1
348,1,0,1,1,1,1,0,1
349,1,0,1,0,1,1,1,0
350,0,1,0,1,1,0,1,1
351,1,1,0,1,1,0,1,0
352,1,1,0,0,1,0,0,1
353,0,1,1,0,0,0,1,1
354,0,0,0,0,1,1,1,0
355,0,0,0,1,1,0,1,1
356,0,0,1,0,1,1,0,1
357,1,0,0,0,1,0,0,0
358,1,1,1,0,1,0,0,1
359,0,1,0,1,1,1,1,0
360,0,0,0,0,1,0,1,1
361,0,1,0,0,1,0,0,1
362,1,1,1,0,1,0,1,0
363,1,1,0,0,0,1,1,0
364,1,0,1,1,1,0,0,0
365,0,0,1,0,0,0,1,1
366,1,1,0,0,0,1,1,1
367,1,0,0,0,1,0,0,1
368,0,0,1,0,0,1,0,1
369,0,1,1,0,0,1,1,0
370,0,0,0,0,1,1,0,1
371,1,1,0,0,1,0,0,1
372,1,0,1,0,0,0,1,0
373,0,1,0,1,0,0,0,1
374,0,1,1,0,0,1,1,1
375,1,0,0,1,1,0,0,1
376,1,0,0,0,0,0,0,0
377,1,1,0,0,0,1,0,1
378,1,0,0,0,1,0,0,1
379,0,0,0,0,1,1,0,1
