,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0
1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
2,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
4,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
5,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0
6,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0
7,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0
8,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
9,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0
10,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0
12,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1
13,1,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1
14,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1
15,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0
16,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0
17,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1
18,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0
19,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
20,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0
21,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
22,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1
23,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,1
24,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
25,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0
26,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
27,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
28,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0
29,1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1
30,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1
31,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1
32,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0
33,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0
34,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0
35,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0
36,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1
37,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0
38,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1
39,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
40,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
41,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0
42,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1
43,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
44,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1
45,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0
46,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1
47,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1
48,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0
49,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0
50,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1
51,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
52,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
53,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1
54,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0
55,0,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0
56,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0
57,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0
58,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
59,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0
60,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1
61,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1
62,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1
63,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
64,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0
65,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0
66,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0
67,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
68,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0
69,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
70,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1
71,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
72,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
73,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0
74,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1
75,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1
76,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0
