,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
3,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0
4,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0
5,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
6,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
7,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0
8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1
9,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
10,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
11,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
12,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0
13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
14,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
16,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
17,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
18,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
19,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
20,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0
22,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
23,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
24,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0
25,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
26,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
27,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0
29,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
30,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
31,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1
32,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
33,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
35,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
36,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
37,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1
38,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
40,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1
41,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1
