,0,1,2,3,4,5,6,7
0,1,1,0,1,1,1,1,1
1,1,1,0,0,1,0,1,0
2,1,0,1,0,0,1,0,1
3,1,0,0,0,0,0,0,0
4,1,0,0,0,0,1,1,0
5,1,1,0,0,1,0,1,0
6,1,1,0,0,1,0,1,0
7,0,1,0,0,0,0,1,1
8,0,0,0,1,1,1,1,1
9,1,1,0,0,1,0,1,0
10,1,0,0,1,0,1,0,1
11,1,0,0,0,0,1,1,1
12,1,0,0,0,0,1,0,1
13,1,0,0,0,1,0,1,0
14,0,0,1,0,0,0,0,1
15,0,1,0,0,1,0,1,0
16,1,1,0,0,1,0,1,0
17,1,0,0,0,0,1,0,1
18,1,1,0,0,0,1,0,1
19,0,0,1,1,0,1,0,1
20,0,1,0,0,1,0,0,0
21,1,0,0,0,0,1,0,0
22,1,0,1,0,0,1,0,1
23,1,0,0,0,0,1,1,1
24,1,0,0,0,0,1,0,1
25,1,1,0,0,0,0,1,0
26,1,1,1,0,0,1,0,1
27,1,0,0,0,0,1,0,1
28,1,1,0,1,1,0,1,0
29,0,1,0,0,1,0,0,0
30,1,1,0,0,1,1,0,1
31,0,0,0,0,0,1,0,1
32,1,1,1,0,1,0,1,0
33,1,1,0,0,0,0,0,1
34,1,0,1,1,0,1,0,1
35,1,0,1,1,0,1,0,1
36,1,1,0,0,0,0,1,0
37,1,0,0,0,0,1,0,0
38,0,1,1,0,1,0,0,0
39,0,0,0,0,0,1,0,1
40,1,1,0,0,1,0,1,0
41,1,0,0,0,0,0,1,0
42,1,1,0,0,1,1,1,0
43,1,0,0,0,0,1,0,1
44,1,1,0,0,0,1,0,1
45,1,1,0,1,1,0,1,0
46,1,0,0,0,0,1,0,0
47,1,1,0,0,1,1,0,0
48,0,0,0,0,1,1,0,1
49,1,1,0,0,1,0,1,0
50,1,0,0,0,1,0,0,1
51,1,1,0,1,1,0,1,0
52,1,1,0,0,1,0,1,0
53,1,0,1,0,0,1,0,1
54,1,0,0,0,0,1,0,0
55,1,1,0,0,0,1,0,1
56,1,1,0,0,1,0,1,0
57,1,0,0,0,0,1,0,1
58,1,1,0,0,1,0,1,0
59,1,0,1,0,0,1,0,1
60,1,0,1,0,0,0,1,1
61,1,0,0,0,0,1,0,1
62,1,0,0,0,0,1,0,1
63,0,1,0,0,0,0,1,0
64,1,1,0,1,1,1,0,1
65,1,1,0,0,1,0,1,0
66,1,0,1,0,1,1,1,1
67,1,0,0,1,1,1,0,1
68,1,1,0,0,1,0,0,0
69,1,0,0,0,0,1,0,1
70,1,0,1,0,1,1,1,0
71,1,0,0,0,0,1,0,1
72,1,1,0,0,1,0,1,0
73,1,0,0,1,0,1,0,1
74,1,0,0,0,0,1,0,1
75,1,1,0,1,0,1,0,0
76,1,1,0,0,1,1,0,0
77,1,0,1,0,0,1,0,1
78,1,0,0,0,0,1,0,1
79,1,0,0,0,0,1,0,0
80,1,0,1,0,0,1,0,1
81,1,1,0,0,0,1,0,1
82,0,1,0,0,1,0,1,0
83,1,1,1,0,1,1,1,0
84,1,1,0,0,1,0,1,0
85,1,0,0,0,0,1,0,1
86,0,0,0,0,0,0,0,1
87,1,1,0,0,1,0,1,0
88,0,1,0,0,1,0,0,0
89,1,0,0,1,0,1,0,1
90,1,0,0,0,0,1,0,1
91,0,0,0,0,0,1,0,0
92,1,0,0,0,0,1,0,1
93,1,0,0,1,1,1,0,0
94,1,1,0,0,1,0,0,0
95,1,0,1,0,1,0,1,1
96,1,0,0,0,0,1,1,1
97,1,1,0,0,0,0,0,1
98,1,0,0,1,0,1,1,0
99,1,0,0,1,0,1,1,1
100,1,0,0,0,1,0,0,0
101,1,0,0,0,1,0,1,1
102,1,1,0,1,1,0,1,0
103,1,1,0,1,1,1,1,0
104,1,1,0,0,1,0,1,0
105,1,1,0,0,0,1,0,1
106,0,0,0,0,0,1,0,1
107,1,1,0,0,1,0,1,0
108,1,0,0,0,0,1,0,1
109,1,1,0,0,0,0,0,1
110,1,0,0,0,0,0,0,1
111,1,1,0,1,1,0,1,0
112,1,0,0,0,0,1,0,1
113,1,1,1,1,1,0,1,0
114,1,0,0,1,1,0,0,1
115,0,0,0,0,0,1,0,1
116,1,0,0,0,0,1,0,1
117,1,1,0,0,1,0,1,0
118,1,1,0,0,1,1,1,0
119,0,1,1,0,1,0,1,1
120,1,1,0,0,1,1,1,0
121,1,0,0,0,0,1,0,1
122,1,1,0,0,1,1,0,0
123,0,1,0,0,1,0,1,0
124,1,0,0,0,0,1,0,1
125,1,1,0,0,1,1,0,0
126,0,1,0,0,1,0,1,0
127,1,0,0,0,0,0,0,1
128,1,0,1,1,0,0,0,1
129,0,0,0,1,1,0,1,0
130,1,1,0,0,1,0,1,0
131,1,0,0,0,0,1,0,1
132,1,0,0,1,0,1,0,0
133,1,1,0,0,1,0,1,0
134,1,0,0,0,0,1,0,1
135,1,1,0,0,1,0,0,0
136,1,1,0,0,0,1,0,1
137,0,1,0,0,1,0,1,0
138,1,1,0,0,1,1,0,1
139,1,0,0,0,0,1,0,1
140,1,0,0,1,0,1,0,1
141,1,0,0,0,0,0,0,1
142,1,0,0,0,0,1,0,1
143,1,0,0,0,0,1,0,1
144,0,1,1,0,0,1,0,1
145,1,0,0,0,0,1,0,0
146,1,1,0,0,1,0,1,1
147,1,1,0,0,1,0,1,0
148,1,1,0,0,0,1,0,1
149,0,0,0,0,1,1,0,1
150,1,0,0,0,0,1,0,0
151,1,0,0,0,1,1,0,0
152,0,1,0,0,1,0,1,1
153,1,1,0,0,1,0,1,0
154,1,0,0,0,1,0,1,0
155,1,0,0,0,0,1,0,1
156,1,1,1,0,0,1,0,1
157,1,0,0,0,0,1,0,0
158,1,0,0,0,1,0,1,0
159,1,1,0,0,1,0,1,0
160,1,1,0,0,1,1,1,0
161,1,1,0,0,1,0,1,0
162,1,1,0,0,1,0,1,0
163,1,0,0,1,1,1,0,1
164,1,1,1,1,1,0,1,0
165,1,1,0,1,1,1,1,0
166,1,1,0,0,1,1,1,1
167,1,1,1,0,1,0,1,0
168,1,1,0,0,0,0,1,0
169,1,0,0,0,0,0,0,1
170,0,1,0,0,1,0,1,0
171,1,1,0,0,1,0,1,0
172,0,0,0,0,0,1,1,1
173,1,0,0,0,0,1,1,1
174,1,0,0,0,1,0,1,0
175,1,0,0,0,0,1,0,0
176,1,0,0,0,0,1,0,1
177,0,0,0,0,0,1,0,1
178,1,0,0,0,1,1,0,1
179,1,1,0,0,0,0,1,1
180,1,0,1,0,1,1,1,1
181,1,0,0,0,1,1,0,1
182,1,1,1,0,1,0,1,1
183,1,0,1,0,1,0,1,1
184,1,1,0,0,0,0,1,0
185,1,1,0,0,1,0,1,1
186,1,0,0,1,1,1,1,1
187,1,1,0,0,0,0,1,0
188,0,1,0,0,0,0,1,0
189,1,0,0,0,0,1,0,1
190,1,1,1,1,1,0,1,0
191,1,1,0,1,1,0,1,0
192,1,1,0,0,0,0,1,0
193,1,0,0,1,0,0,1,1
194,1,0,0,0,0,0,0,1
195,0,1,0,0,0,1,0,1
196,1,1,0,0,0,0,0,0
197,1,1,0,0,0,0,0,1
198,1,0,1,0,1,0,1,0
199,1,1,1,0,1,0,1,1
200,1,0,0,0,0,1,0,1
201,1,1,0,0,0,1,1,1
202,1,1,0,1,0,0,1,0
203,1,1,0,1,0,0,1,0
204,1,1,0,0,1,0,1,1
205,1,0,0,0,0,1,1,1
206,1,0,0,0,1,0,0,1
207,1,0,0,0,1,1,0,1
208,0,0,0,0,1,1,0,1
209,1,1,0,0,1,0,1,0
210,1,0,0,0,0,1,0,1
211,1,1,0,0,1,0,0,1
212,1,1,0,0,1,0,1,0
213,1,0,0,0,0,1,0,1
214,1,0,0,0,0,1,0,1
215,1,0,0,0,0,1,0,0
216,1,1,0,0,1,0,1,0
217,1,0,1,0,1,0,1,0
218,1,1,0,1,1,0,1,0
219,1,1,0,0,1,0,1,0
220,1,1,0,1,0,0,1,0
221,1,1,0,0,1,0,1,0
222,0,1,0,0,1,0,1,0
223,1,0,0,0,0,1,0,1
224,1,0,1,1,0,1,0,1
225,1,1,0,0,1,0,1,0
226,1,0,0,0,0,0,0,1
227,1,1,1,0,1,0,0,0
228,1,0,0,0,0,1,0,0
229,1,1,0,0,0,0,0,0
230,1,0,1,1,0,1,0,0
231,1,0,0,0,1,1,0,1
232,1,1,0,0,1,1,1,0
233,1,0,0,0,0,1,1,1
234,1,1,0,0,1,0,1,1
