,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1
1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0
2,1,0,1,0,1,1,0,1,0,1,1,1,1,0,0,1
3,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0
4,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0
5,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1
6,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0
7,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1
8,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0
9,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1
10,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
11,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,1
12,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0
13,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1
14,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1
15,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
16,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0
17,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1
18,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0
19,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1
20,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1
21,0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0
22,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
23,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1
24,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0
25,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
26,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0
27,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
28,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1
29,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1
30,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0
31,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1
32,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0
33,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1
34,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0
35,0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1
36,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0
37,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0
38,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0
39,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0
40,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0
41,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0
42,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0
43,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0
44,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0
45,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1
46,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1
47,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0
48,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0
49,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1
50,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1
51,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0
52,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0
53,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1
54,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
55,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0
56,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0
57,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0
58,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0
59,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0
60,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1
61,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0
62,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0
63,1,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0
64,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1
65,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0
66,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0
67,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0
68,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1
69,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1
70,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1
71,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0
72,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1
73,0,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1
74,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
75,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0
76,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0
77,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
78,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0
79,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,1
80,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
81,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0
82,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1
83,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
84,1,1,1,0,0,1,0,1,1,0,1,1,0,0,0,1
85,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0
86,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1
87,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0
88,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,0
89,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1
90,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0
91,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0
92,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0
93,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1
94,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0
95,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0
