,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1
1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
3,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1
4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
5,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0
6,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0
7,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
8,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1
9,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0
10,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0
11,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0
12,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
14,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1
15,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0
16,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,0
17,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0
18,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
19,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1
20,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1
21,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
22,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
23,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1
24,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0
25,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
26,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0
27,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1
28,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
29,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1
30,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1
31,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0
32,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1
33,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
34,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
35,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1
36,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0
37,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
38,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0
39,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0
40,1,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0
41,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0
42,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1
43,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1
44,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1
45,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0
46,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
47,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1
48,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1
49,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0
50,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0
51,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1
52,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
53,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
54,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0
55,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0
56,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0
57,1,0,1,0,1,1,0,1,0,0,1,1,1,1,0,0
58,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1
59,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
60,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1
61,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
62,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0
63,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
64,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0
65,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1
66,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1
67,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
69,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1
70,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
71,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
72,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1
73,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1
74,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
75,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1
76,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1
77,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0
78,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0
79,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,1
80,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
81,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0
82,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1
83,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
84,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0
86,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1
87,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
88,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0
89,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1
91,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0
92,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
93,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
94,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
95,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
96,0,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0
97,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
98,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
99,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
100,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0
101,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1
102,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
103,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0
104,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
105,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1
106,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
107,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
108,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1
109,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
110,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1
111,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0
112,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0
113,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0
114,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1
115,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1
116,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
117,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
118,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1
119,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0
120,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
121,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
122,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1
123,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0
124,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0
125,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1
126,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0
127,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0
128,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0
129,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1
130,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0
131,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
132,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0
133,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0
134,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
135,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0
136,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
137,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1
138,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0
139,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
140,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
141,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1
142,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0
143,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1
144,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1
145,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1
146,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1
147,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
148,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1
149,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
150,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0
151,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0
152,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1
153,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0
154,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
155,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0
156,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
157,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0
158,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1
159,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1
160,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0
161,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
162,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0
163,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
164,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0
165,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
166,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1
167,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0
168,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1
169,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1
170,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0
171,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
172,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0
173,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0
174,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1
175,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1
176,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0
177,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
178,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0
179,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0
180,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0
